,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth
0,58,635,88,546,172,88,88,3,8,10,4,7
1,38,11,1,6,2,1,6,2,1,1,2,5
2,26,426,49,127,111,21,42,1,8,2,10,4
3,26,11,4,20,10,3,5,2,2,0,4,6
4,94,173,43,118,46,27,15,5,5,3,6,5
5,16,520,42,98,0,42,14,2,6,4,10,6
6,34,235,65,164,50,49,27,4,7,3,7,6
7,32,76,10,56,3,1,23,2,4,0,4,8
8,19,14,0,24,3,3,2,1,3,0,2,9
9,68,28,0,6,1,1,13,1,1,0,0,20
10,11,5,5,6,0,2,1,1,1,0,2,7
11,59,6,16,11,11,1,16,1,2,0,3,8
12,82,194,61,480,225,112,30,1,3,4,8,2
13,53,233,2,53,3,5,14,3,6,1,5,6
14,38,3,14,17,6,1,5,1,1,0,3,8
15,23,1006,22,115,59,68,45,1,7,6,12,3
16,51,53,5,19,2,13,4,3,3,0,3,8
17,20,84,5,38,150,12,28,2,4,1,6,7
18,91,1012,80,498,0,16,176,2,11,4,9,5
19,86,4,17,19,30,24,39,2,2,1,3,6
20,41,86,2,73,69,38,48,1,4,2,5,8
21,42,1,1,1725,1,1,1,15,0,28,0,1
22,63,867,0,86,0,0,19,3,2,3,9,8
23,0,384,0,102,21,32,5,3,6,2,9,4
24,69,270,3,27,39,6,99,7,7,1,5,8
25,89,6,4,25,15,12,13,2,2,1,3,7
26,4,173,4,30,3,6,41,4,5,1,4,7
27,19,5,1,3,3,263,362,0,27,0,0,1
28,26,36,2,42,20,21,10,2,2,1,4,3
29,96,684,100,801,21,66,0,1,6,9,10,2
30,34,8,4,10,2,2,4,2,3,0,3,5
31,56,112,17,44,34,22,89,1,2,5,3,3
32,31,110,0,5,2,0,3,2,2,1,4,5
33,8,96,12,96,33,22,43,6,4,1,6,6
34,4,482,34,471,119,68,22,1,3,5,9,7
35,55,40,0,19,2,1,3,1,2,0,3,7
36,37,702,17,151,0,8,35,5,5,6,12,2
37,76,6,3,14,15,7,36,3,3,1,2,7
38,99,55,0,6,2,0,4,2,1,1,3,5
39,53,437,8,206,160,49,42,2,7,10,5,6
40,3,421,76,536,82,178,102,2,8,6,5,4
41,88,13,1,29,3,0,7,2,2,0,3,8
42,4,9,0,6,3,1,3,1,0,0,3,5
43,80,81,11,50,3,2,39,1,1,3,4,2
44,19,3,1,10,3,2,12,3,2,0,3,5
45,72,123,164,266,227,30,174,1,2,4,9,1
46,24,3,18,14,15,22,50,3,3,1,3,9
47,92,13,6,15,3,5,13,1,2,0,2,10
48,96,48,5,48,6,10,7,3,2,1,4,6
49,39,826,50,317,50,38,38,9,5,2,12,8
50,29,245,19,125,37,67,14,1,4,2,10,2
51,2,650,37,780,27,167,32,1,6,9,13,3
52,54,12,6,20,30,1,3,2,2,0,3,7
53,54,510,120,550,156,40,241,1,4,9,7,1
54,57,328,9,124,12,24,109,7,4,2,10,3
55,55,984,51,432,180,120,190,1,3,10,13,1
56,30,295,35,482,121,120,40,1,5,5,10,3
57,31,13,0,8,2,1,5,1,1,0,4,3
58,57,11,3,22,2,2,6,2,2,0,3,6
59,63,447,0,28,0,0,43,3,8,2,6,7
60,12,712,26,538,69,13,80,1,3,6,11,1
61,18,452,18,102,16,18,6,4,4,2,12,3
62,26,523,7,134,37,14,169,4,8,2,10,7
63,8,546,0,48,0,6,6,1,7,3,8,5
64,29,398,40,367,119,122,30,1,7,4,4,4
65,75,1,3,6,3,6,15,1,1,1,2,7
66,0,10,0,1,0,0,0,1,1,0,2,7
67,19,688,14,309,201,24,38,1,11,10,10,5
68,4,247,49,159,7,82,109,1,5,2,10,4
69,90,856,59,487,58,29,73,7,2,5,5,5
70,1,496,36,460,189,60,12,3,4,8,6,3
71,25,25,3,43,17,4,17,3,3,0,3,8
72,29,258,107,291,84,37,86,4,10,3,13,7
73,88,565,6,65,0,6,19,5,9,2,8,7
74,58,14,10,13,4,15,9,1,2,1,4,2
75,68,2,1,6,2,1,1,1,1,0,2,6
76,34,721,111,925,97,18,18,1,7,6,5,5
77,40,1032,105,779,137,105,51,0,5,8,9,4
78,12,1,0,5,0,3,9,1,0,0,3,3
79,9,577,0,64,0,0,51,2,10,1,8,8
80,87,64,4,68,7,5,17,4,3,1,4,8
81,5,4,1,5,2,0,4,1,1,0,2,7
82,87,25,5,19,7,0,23,3,3,0,3,7
83,56,112,17,44,34,22,89,1,2,5,3,3
84,18,163,23,424,27,65,76,1,3,10,13,1
85,95,17,8,14,10,4,3,2,1,0,4,7
86,48,130,0,16,0,0,5,5,3,1,4,7
87,3,292,6,37,0,3,34,4,6,1,6,7
88,70,350,60,568,110,133,145,1,5,6,7,2
89,79,135,9,39,4,0,7,1,2,2,5,2
90,4,230,42,192,49,37,53,12,7,2,8,9
91,45,7,0,8,2,0,1,1,1,0,2,7
92,87,445,37,359,98,28,18,1,2,4,8,1
93,69,15,2,10,0,1,4,1,1,0,3,7
94,84,27,2,14,0,0,0,3,3,1,3,5
95,30,5,3,11,12,5,9,1,2,0,3,6
96,72,505,0,26,0,0,75,5,7,4,6,6
97,37,51,2,7,0,1,2,2,2,0,3,7
98,44,207,26,447,75,0,223,1,5,7,12,2
99,32,135,46,92,65,61,11,2,5,2,7,5
100,0,53,1,5,2,1,10,2,2,0,3,8
101,43,41,1,6,2,0,5,2,2,0,3,6
102,59,386,172,183,185,132,111,2,9,5,11,5
103,68,562,81,276,80,40,81,1,6,3,6,4
104,35,217,76,690,50,26,38,1,3,11,5,1
105,94,1,3,6,10,0,9,1,1,0,3,5
106,15,144,1,32,2,1,7,4,4,1,4,7
107,56,295,106,271,75,98,65,4,6,4,12,6
108,17,76,3,31,4,4,27,2,3,1,3,7
109,18,454,194,106,31,22,43,1,5,4,4,2
110,46,425,115,292,23,35,79,1,6,6,11,3
111,40,1332,17,311,23,51,86,1,7,4,5,9
112,27,527,0,21,0,0,60,3,8,1,8,6
113,95,490,44,125,29,20,22,1,6,7,11,3
114,19,378,0,101,0,0,72,5,6,4,6,7
115,27,64,1,21,0,1,27,2,2,1,3,6
116,25,547,99,812,151,82,33,0,4,6,5,1
117,74,47,90,94,123,103,120,5,9,1,5,9
118,85,12,5,25,0,9,30,2,1,1,3,5
119,37,1,6,7,11,5,3,2,2,0,3,6
120,65,320,48,133,39,72,48,4,6,2,10,4
121,13,34,3,29,0,4,10,3,2,1,3,5
122,63,9,0,7,3,4,7,2,1,0,3,7
123,83,17,0,14,7,3,2,1,1,0,3,7
124,69,722,27,102,44,72,168,0,6,8,13,2
125,87,162,33,124,40,28,172,2,3,4,7,1
126,37,450,133,951,173,0,216,1,3,6,6,1
127,51,70,0,16,0,0,4,2,2,0,4,6
128,23,352,0,27,10,0,15,3,6,1,7,6
129,72,492,19,110,16,12,12,4,6,3,10,4
130,10,120,58,73,65,89,58,5,5,4,5,5
131,42,534,5,47,0,5,41,5,11,1,6,8
132,10,236,106,189,23,41,130,1,7,2,9,4
133,96,231,65,196,38,71,124,1,6,5,7,4
134,51,220,0,33,3,0,23,5,5,1,5,8
135,21,796,14,590,38,44,0,1,4,5,13,3
136,31,0,1,3,10,6,9,2,1,0,3,8
137,61,53,1,34,2,0,16,3,2,2,2,8
138,37,15,0,8,4,2,20,2,1,1,2,5
139,74,17,1,12,3,1,4,2,2,0,3,7
140,46,962,61,921,52,61,20,1,5,4,12,2
141,4,738,0,232,13,20,50,2,3,5,7,7
142,73,399,28,756,36,40,126,1,5,7,10,2
143,47,614,16,132,43,33,33,3,8,5,9,6
144,13,32,34,41,73,16,116,3,4,2,3,7
145,36,598,16,141,32,41,49,3,3,3,6,8
146,47,2,1,18,20,11,16,1,2,0,3,6
147,49,6,1,10,0,1,4,1,1,0,2,8
148,94,73,3,90,12,1,32,7,4,1,4,8
149,65,42,16,29,12,20,8,1,2,1,4,3
150,59,295,21,78,39,13,13,1,4,4,7,3
151,96,346,17,48,23,13,13,4,8,1,6,6
152,28,233,20,57,8,20,91,4,7,1,5,7
153,12,5,7,24,19,14,20,4,3,0,4,6
154,57,888,0,57,0,0,76,2,8,5,11,5
155,10,997,26,269,34,13,42,1,10,4,6,4
156,4,212,6,69,4,12,3,3,6,1,5,7
157,49,8,1,7,2,0,0,1,0,0,3,4
158,3,42,11,57,10,28,14,1,1,1,6,2
159,64,536,11,387,149,91,57,1,3,4,10,1
160,0,5,0,3,0,0,5,1,1,0,2,7
161,20,1349,16,249,43,16,33,2,10,6,9,6
162,91,53,3,49,7,4,5,4,3,0,4,8
163,9,1001,12,240,16,12,12,1,5,4,10,2
164,98,20,2,1582,1,2,1,15,0,22,0,0
165,83,18,1,32,6,3,28,3,2,0,4,6
166,27,125,16,98,134,21,27,1,6,7,4,3
167,63,212,5,33,7,0,2,1,3,2,6,4
168,46,277,162,305,173,76,124,1,3,4,7,1
169,84,15,10,19,8,17,20,3,2,1,3,5
170,58,7,3,10,8,1,7,2,1,0,3,7
171,78,12,4,6,11,8,16,2,2,0,3,8
172,4,85,7,24,2,3,27,1,3,1,3,6
173,17,81,0,6,0,0,6,2,2,1,3,5
174,77,59,0,12,0,0,48,1,2,2,2,4
175,56,1149,71,449,69,71,26,1,11,8,8,5
176,79,847,66,119,86,89,111,1,9,10,5,4
177,90,29,0,14,0,0,2,2,2,0,3,7
178,96,2,0,5,2,0,1,1,0,0,3,2
179,44,207,26,447,75,0,223,1,5,7,12,2
180,81,152,3,22,2,5,7,1,4,1,4,5
181,77,12,11,10,3,12,9,3,2,1,3,6
182,21,620,26,195,34,17,141,1,6,4,13,2
183,16,47,1,6,0,0,12,1,1,1,3,6
184,80,1,9,7,2,14,10,1,2,0,3,6
185,45,10,1,18,10,4,7,1,1,1,2,9
186,63,35,0,2,0,0,2,2,1,0,4,5
187,34,356,0,107,19,9,117,2,7,1,8,5
188,14,783,30,537,140,76,15,1,4,10,9,2
189,13,42,1,18,3,0,4,2,2,0,3,7
190,52,1,4,10,29,0,36,1,1,1,2,6
191,98,466,22,432,147,113,102,1,8,7,12,3
192,99,15,6,8,7,4,25,1,2,1,2,5
193,93,23,3,21,3,19,22,2,3,0,3,8
194,38,235,6,45,8,9,12,4,5,1,6,6
195,24,10,0,10,3,1,7,2,1,1,2,8
196,80,656,16,106,32,16,8,1,7,3,12,3
197,82,519,17,813,27,173,51,1,4,6,6,2
198,20,344,189,482,50,33,172,1,5,6,5,2
199,81,96,1,79,7,1,79,6,5,1,3,8
200,50,448,4,34,6,4,39,3,8,1,7,5
201,60,265,138,553,224,23,92,1,4,4,9,1
202,63,587,43,337,42,87,54,3,11,6,9,6
203,54,763,29,138,76,176,58,0,7,9,10,4
204,72,22,0,13,0,0,3,2,1,0,3,7
205,5,6,4,1,7,2,15,1,0,1,2,6
206,88,7,6,13,7,6,14,1,1,0,3,9
207,50,81,18,113,47,13,21,6,4,2,5,6
208,99,54,0,7,0,0,4,1,2,0,3,6
209,17,1170,48,320,42,32,192,5,11,4,9,8
210,11,72,24,68,65,4,8,5,3,1,6,4
211,18,613,22,319,33,102,12,1,4,6,9,1
212,70,224,0,30,0,0,10,8,5,1,5,8
213,21,410,0,59,19,9,44,10,7,1,8,7
214,66,239,10,554,254,87,54,1,3,4,9,1
215,79,171,7,171,25,19,89,6,8,1,5,8
216,2,12,0,4,0,0,1,1,1,0,2,8
217,81,1076,16,417,42,48,16,1,8,10,6,3
218,24,182,4,33,0,0,66,2,4,1,5,7
219,48,824,32,162,42,32,43,2,11,4,11,6
220,93,30,11,25,29,1,18,1,1,1,4,3
221,56,377,10,540,80,30,10,1,3,5,7,1
222,3,520,7,154,19,0,14,2,6,3,11,3
223,44,155,1,25,0,1,3,4,4,1,4,8
224,38,897,23,207,15,11,92,5,9,6,12,6
225,46,131,0,16,2,1,39,4,3,1,4,8
226,84,297,7,79,0,11,182,2,8,2,4,8
227,27,787,20,204,0,0,92,3,2,2,11,8
228,72,792,86,740,67,51,17,1,3,5,8,2
229,66,4,1,9,3,0,0,1,1,0,2,8
230,30,231,7,137,4,15,39,9,5,1,8,7
231,2,983,76,184,180,138,27,1,6,3,4,7
232,65,3,1,8,4,3,3,1,1,0,2,8
233,37,0,4,5,6,0,4,1,1,0,3,3
234,89,562,21,464,28,10,32,3,7,8,11,5
235,49,5,9,20,6,8,21,2,2,0,4,6
236,46,18,0,4,0,0,1,1,1,0,3,7
237,32,415,5,124,15,35,11,1,5,2,11,3
238,54,5,3,10,12,7,20,4,3,1,3,7
239,23,8,0,5,7,0,2,1,1,0,2,4
240,98,901,61,757,186,163,20,1,6,5,10,3
241,97,382,114,276,75,124,38,2,6,4,4,3
242,75,14,1,7,2,1,1,1,2,0,2,9
243,8,559,153,503,218,13,181,1,3,9,9,2
244,37,789,0,133,0,28,152,7,11,5,8,7
245,31,11,0,5,0,0,1,2,1,0,3,6
246,40,1218,16,272,104,0,80,2,5,3,6,6
247,74,925,64,179,133,12,77,2,9,4,6,5
248,90,864,134,768,150,38,172,1,4,10,5,3
249,57,960,28,183,220,70,70,4,9,6,6,6
250,59,16,3,25,6,1,13,2,2,0,3,8
251,52,3,3,7,0,2,11,2,1,0,3,6
252,5,168,148,444,32,172,148,1,6,9,13,2
253,92,45,47,52,21,20,25,2,3,1,5,6
254,77,650,28,353,45,42,30,5,4,6,11,8
255,35,24,0,8,0,0,1,2,1,0,3,6
256,48,918,21,118,13,10,21,3,8,3,5,6
257,97,138,33,87,28,24,12,4,3,2,7,3
258,95,12,4,2,10,6,10,4,2,0,4,5
259,24,11,0,4,0,0,2,1,1,0,2,8
260,60,1,2,8,4,3,13,2,1,1,2,7
261,46,554,41,215,11,0,24,3,10,2,10,5
262,85,167,2,62,24,13,7,4,4,1,6,5
263,31,9,0,6,4,1,5,1,1,0,2,9
264,9,177,2,71,3,2,20,6,5,2,4,8
265,30,38,4,22,4,2,20,4,3,1,3,7
266,47,483,84,398,205,84,241,1,3,7,8,1
267,70,77,2,35,0,1,69,4,3,2,2,7
268,13,182,74,298,162,149,116,1,3,3,6,1
269,11,10,7,19,8,2,21,2,2,2,2,6
